stage_entry,kind,act,launch_command
s00a00l,stage-entry,Prologue,mgs4.exe --stage s00a00l
s00a00l_0,gameplay,Prologue,mgs4.exe --stage s00a00l_0
s00a10l,stage-entry,Prologue,mgs4.exe --stage s00a10l
s00a10l_D2,cutscene,Prologue,mgs4.exe --stage s00a10l_D2
s00a10l_D3,cutscene,Prologue,mgs4.exe --stage s00a10l_D3
s00a10l_D4,cutscene,Prologue,mgs4.exe --stage s00a10l_D4
s00a10l_D5,cutscene,Prologue,mgs4.exe --stage s00a10l_D5
s00a10l_D6,cutscene,Prologue,mgs4.exe --stage s00a10l_D6
s00a10l_D7,cutscene,Prologue,mgs4.exe --stage s00a10l_D7
s00a10l_D8,cutscene,Prologue,mgs4.exe --stage s00a10l_D8
s00a10l_D9,cutscene,Prologue,mgs4.exe --stage s00a10l_D9
s01a00l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a00l
s01a00l_00,gameplay,Act 1 Middle East,mgs4.exe --stage s01a00l_00
s01a00l_01,gameplay,Act 1 Middle East,mgs4.exe --stage s01a00l_01
s01a00l_02,gameplay,Act 1 Middle East,mgs4.exe --stage s01a00l_02
s01a00l_03,gameplay,Act 1 Middle East,mgs4.exe --stage s01a00l_03
s01a00l_04,gameplay,Act 1 Middle East,mgs4.exe --stage s01a00l_04
s01a00l_05,gameplay,Act 1 Middle East,mgs4.exe --stage s01a00l_05
s01a00l_06,gameplay,Act 1 Middle East,mgs4.exe --stage s01a00l_06
s01a00l_08,gameplay,Act 1 Middle East,mgs4.exe --stage s01a00l_08
s01a00l_1,gameplay,Act 1 Middle East,mgs4.exe --stage s01a00l_1
s01a05l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a05l
s01a10l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a10l
s01a10l_0,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_0
s01a10l_01,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_01
s01a10l_02,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_02
s01a10l_03,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_03
s01a10l_04,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_04
s01a10l_05,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_05
s01a10l_06,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_06
s01a10l_07,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_07
s01a10l_08,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_08
s01a10l_1,gameplay,Act 1 Middle East,mgs4.exe --stage s01a10l_1
s01a10l_D1,cutscene,Act 1 Middle East,mgs4.exe --stage s01a10l_D1
s01a10l_D2,cutscene,Act 1 Middle East,mgs4.exe --stage s01a10l_D2
s01a20l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a20l
s01a20l_01,gameplay,Act 1 Middle East,mgs4.exe --stage s01a20l_01
s01a20l_02,gameplay,Act 1 Middle East,mgs4.exe --stage s01a20l_02
s01a20l_03,gameplay,Act 1 Middle East,mgs4.exe --stage s01a20l_03
s01a20l_04,gameplay,Act 1 Middle East,mgs4.exe --stage s01a20l_04
s01a20l_05,gameplay,Act 1 Middle East,mgs4.exe --stage s01a20l_05
s01a20l_06,gameplay,Act 1 Middle East,mgs4.exe --stage s01a20l_06
s01a20l_1,gameplay,Act 1 Middle East,mgs4.exe --stage s01a20l_1
s01a30l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a30l
s01a30l_01,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_01
s01a30l_02,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_02
s01a30l_03,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_03
s01a30l_04,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_04
s01a30l_05,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_05
s01a30l_06,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_06
s01a30l_07,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_07
s01a30l_08,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_08
s01a30l_09,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_09
s01a30l_1,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_1
s01a30l_2,gameplay,Act 1 Middle East,mgs4.exe --stage s01a30l_2
s01a30l_D2,cutscene,Act 1 Middle East,mgs4.exe --stage s01a30l_D2
s01a40l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a40l
s01a40l_01,gameplay,Act 1 Middle East,mgs4.exe --stage s01a40l_01
s01a40l_02,gameplay,Act 1 Middle East,mgs4.exe --stage s01a40l_02
s01a40l_03,gameplay,Act 1 Middle East,mgs4.exe --stage s01a40l_03
s01a40l_04,gameplay,Act 1 Middle East,mgs4.exe --stage s01a40l_04
s01a40l_05,gameplay,Act 1 Middle East,mgs4.exe --stage s01a40l_05
s01a40l_06,gameplay,Act 1 Middle East,mgs4.exe --stage s01a40l_06
s01a40l_1,gameplay,Act 1 Middle East,mgs4.exe --stage s01a40l_1
s01a40l_2,gameplay,Act 1 Middle East,mgs4.exe --stage s01a40l_2
s01a40l_D2,cutscene,Act 1 Middle East,mgs4.exe --stage s01a40l_D2
s01a40l_D3,cutscene,Act 1 Middle East,mgs4.exe --stage s01a40l_D3
s01a50l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a50l
s01a50l_01,gameplay,Act 1 Middle East,mgs4.exe --stage s01a50l_01
s01a50l_02,gameplay,Act 1 Middle East,mgs4.exe --stage s01a50l_02
s01a50l_04,gameplay,Act 1 Middle East,mgs4.exe --stage s01a50l_04
s01a50l_05,gameplay,Act 1 Middle East,mgs4.exe --stage s01a50l_05
s01a50l_06,gameplay,Act 1 Middle East,mgs4.exe --stage s01a50l_06
s01a50l_07,gameplay,Act 1 Middle East,mgs4.exe --stage s01a50l_07
s01a50l_1,gameplay,Act 1 Middle East,mgs4.exe --stage s01a50l_1
s01a55l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a55l
s01a57l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a57l
s01a57l_1,gameplay,Act 1 Middle East,mgs4.exe --stage s01a57l_1
s01a60l,stage-entry,Act 1 Middle East,mgs4.exe --stage s01a60l
s01a60l_D1,cutscene,Act 1 Middle East,mgs4.exe --stage s01a60l_D1
s01a60l_D2,cutscene,Act 1 Middle East,mgs4.exe --stage s01a60l_D2
s02a10l,stage-entry,Act 2 South America,mgs4.exe --stage s02a10l
s02a10l_01,gameplay,Act 2 South America,mgs4.exe --stage s02a10l_01
s02a10l_03,gameplay,Act 2 South America,mgs4.exe --stage s02a10l_03
s02a10l_05,gameplay,Act 2 South America,mgs4.exe --stage s02a10l_05
s02a10l_06,gameplay,Act 2 South America,mgs4.exe --stage s02a10l_06
s02a10l_1,gameplay,Act 2 South America,mgs4.exe --stage s02a10l_1
s02a10l_2,gameplay,Act 2 South America,mgs4.exe --stage s02a10l_2
s02a10l_3,gameplay,Act 2 South America,mgs4.exe --stage s02a10l_3
s02a10l_D1,cutscene,Act 2 South America,mgs4.exe --stage s02a10l_D1
s02a10l_D2,cutscene,Act 2 South America,mgs4.exe --stage s02a10l_D2
s02a20l,stage-entry,Act 2 South America,mgs4.exe --stage s02a20l
s02a20l_01,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_01
s02a20l_02,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_02
s02a20l_03,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_03
s02a20l_04,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_04
s02a20l_05,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_05
s02a20l_1,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_1
s02a20l_10,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_10
s02a20l_11,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_11
s02a20l_2,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_2
s02a20l_3,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_3
s02a20l_4,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_4
s02a20l_5,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_5
s02a20l_6,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_6
s02a20l_7,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_7
s02a20l_8,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_8
s02a20l_9,gameplay,Act 2 South America,mgs4.exe --stage s02a20l_9
s02a25l,stage-entry,Act 2 South America,mgs4.exe --stage s02a25l
s02a25l_D1,cutscene,Act 2 South America,mgs4.exe --stage s02a25l_D1
s02a25l_D2,cutscene,Act 2 South America,mgs4.exe --stage s02a25l_D2
s02a25l_D3,cutscene,Act 2 South America,mgs4.exe --stage s02a25l_D3
