id,result,seconds,scene_offset,scene_at,video,state,draws,hud,kind_live,demo,demo_late,env,movie,boss,detail
s01a00l,boot,24,4.88,3.0,s01a00l.mkv,gameplay,1376,155,gameplay,,,s01a00l_00,,,"gameplay, 10s cap"
s01a00l_D,boot,267,5.28,3.0,s01a00l_D.mkv,gameplay,1457,155,cutscene,307,,s01a00l_00,,,handed over to gameplay after 244s of cutscene
s01a05l,boot,314,4.28,2.68,s01a05l.mkv,cutscene,634,9,cutscene,313,,,,,"cutscene, 300s cap"
s01a05l_D,boot,152,4.48,2.88,s01a05l_D.mkv,cutscene,1219,2,cutscene,313,,,,,game exited
s01a10l_1,boot,24,4.86,3.0,s01a10l_1.mkv,gameplay,881,208,gameplay,,,s01a10l_01+s01a10l_05,,,"gameplay, 10s cap"
s01a20l,boot,24,4.87,3.0,s01a20l.mkv,gameplay,602,229,gameplay,,,s01a20l_01+s01a20l_06,,,"gameplay, 10s cap"
s01a10l,boot,87,4.27,2.67,s01a10l.mkv,gameplay,426,281,cutscene,,315,s01a10l_01,d1060_mv.bk2,,handed over to gameplay after 62s of cutscene
s01a10l_D1,boot,17,-1.0,-1.0,,no-3d,16,0,duplicate,,,,d1060_mv.bk2,,duplicate of s01a10l (movie d1060_mv.bk2)
s01a10l_D2,boot,227,5.29,3.0,s01a10l_D2.mkv,gameplay,847,256,cutscene,316,,s01a10l_05,,,handed over to gameplay after 187s of cutscene
s01a20l_D,boot,314,5.26,3.0,s01a20l_D.mkv,gameplay,1735,43,cutscene,317,,,,,"cutscene, 300s cap"
s01a30l,boot,24,4.86,3.0,s01a30l.mkv,gameplay,434,291,gameplay,,,s01a30l_02,,,"gameplay, 10s cap"
s01a30l_1,boot,34,5.27,3.0,s01a30l_1.mkv,gameplay,434,291,codec,,,s01a30l_01+s01a30l_02,,,"codec, 20s cap"
s01a30l_2,boot,24,5.29,3.0,s01a30l_2.mkv,gameplay,940,274,gameplay,,,s01a30l_01+s01a30l_02,,,"gameplay, 10s cap"
s01a30l_D2,boot,109,5.27,3.0,s01a30l_D2.mkv,gameplay,955,288,cutscene,319,,s01a30l_02,,,handed over to gameplay after 87s of cutscene
s01a40l,boot,24,5.48,3.0,s01a40l.mkv,gameplay,1132,155,gameplay,,,s01a40l_02,,,"gameplay, 10s cap"
s01a40l_1,boot,24,5.27,3.0,s01a40l_1.mkv,gameplay,1211,215,gameplay,,,s01a40l_02,,,"gameplay, 10s cap"
s01a40l_2,boot,314,5.28,3.0,s01a40l_2.mkv,gameplay,462,179,cutscene,321,,s01a40l_01,,,"cutscene, 300s cap"
s01a40l_D2,boot,315,5.89,3.0,s01a40l_D2.mkv,cutscene,164,9,cutscene,320,,,,,"cutscene, 300s cap"
s01a40l_D3,boot,241,5.48,3.0,s01a40l_D3.mkv,gameplay,349,289,cutscene,324,,s01a40l_04,,,handed over to gameplay after 218s of cutscene
s01a50l,boot,24,5.06,3.0,s01a50l.mkv,gameplay,746,211,gameplay,,,s01a40l_04,,,"gameplay, 10s cap"
s01a55l,boot,314,4.46,2.86,s01a55l.mkv,cutscene,393,0,cutscene,325,,,,,"cutscene, 300s cap"
s01a55l_D,boot,17,-1.0,-1.0,,cutscene,906,2,duplicate,325,,,,,duplicate of s01a55l (demo 325)
s01a57l,boot,24,5.07,3.0,s01a57l.mkv,gameplay,1468,211,gameplay,,,s01a50l_01,,,"gameplay, 10s cap"
s01a60l,boot,314,4.68,3.0,s01a60l.mkv,cutscene,439,5,cutscene,326,327,s01a50l_07,,,"cutscene, 300s cap"
s01a60l_D1,boot,18,-1.0,-1.0,,cutscene,425,5,duplicate,326,,,,,duplicate of s01a60l (demo 326)
s01a60l_D2,boot,314,4.48,2.88,s01a60l_D2.mkv,cutscene,313,5,cutscene,327,,,,,"cutscene, 300s cap"
s02a10l_1,boot,24,5.27,3.0,s02a10l_1.mkv,gameplay,1507,211,gameplay,,,s02a10l_06+s02a10l_01,,,"gameplay, 10s cap"
s02a10l_2,boot,26,6.32,3.0,s02a10l_2.mkv,gameplay,968,215,gameplay,,,s02a10l_06,,,"gameplay, 10s cap"
s02a10l_3,boot,26,5.1,3.0,s02a10l_3.mkv,gameplay,965,215,gameplay,,,s02a10l_06,,,"gameplay, 10s cap"
s02a10l_D2,boot,33,4.46,2.86,s02a10l_D2.mkv,cutscene,391,0,codec,,,s02a10l_05,,,"codec, 20s cap"
s02a20l,boot,34,5.28,3.0,s02a20l.mkv,cutscene,299,0,codec,,,s02a20l_01,,,"codec, 20s cap"
s02a20l_1,boot,34,5.08,3.0,s02a20l_1.mkv,cutscene,299,0,codec,,,s02a20l_01,,,"codec, 20s cap"
s02a20l_10,boot,24,5.27,3.0,s02a20l_10.mkv,gameplay,775,219,gameplay,,,s02a20l_05,,,"gameplay, 10s cap"
s02a20l_11,boot,24,5.27,3.0,s02a20l_11.mkv,gameplay,774,219,gameplay,,,s02a20l_05,,,"gameplay, 10s cap"
s02a20l_2,boot,34,5.07,3.0,s02a20l_2.mkv,cutscene,299,0,codec,,,s02a20l_01,,,"codec, 20s cap"
s02a20l_3,boot,24,5.49,3.0,s02a20l_3.mkv,gameplay,1769,215,gameplay,,,s02a20l_01,,,"gameplay, 10s cap"
s02a20l_4,boot,24,5.28,3.0,s02a20l_4.mkv,gameplay,1386,215,gameplay,,,s02a20l_02+s02a20l_05,,,"gameplay, 10s cap"
s02a20l_5,boot,24,5.47,3.0,s02a20l_5.mkv,gameplay,1362,215,gameplay,,,s02a20l_02+s02a20l_05,,,"gameplay, 10s cap"
s02a20l_6,boot,24,5.28,3.0,s02a20l_6.mkv,gameplay,2210,219,gameplay,,,s02a20l_05,,,"gameplay, 10s cap"
s02a20l_7,boot,24,5.48,3.0,s02a20l_7.mkv,gameplay,2195,219,gameplay,,,s02a20l_05,,,"gameplay, 10s cap"
s02a20l_8,boot,24,5.29,3.0,s02a20l_8.mkv,gameplay,711,219,gameplay,,,s02a20l_05,,,"gameplay, 10s cap"
s02a20l_9,boot,24,5.28,3.0,s02a20l_9.mkv,gameplay,709,219,gameplay,,,s02a20l_05,,,"gameplay, 10s cap"
s02a25l,boot,314,4.88,3.0,s02a25l.mkv,gameplay,879,43,cutscene,330,,,,,"cutscene, 300s cap"
s02a25l_D1,boot,17,-1.0,-1.0,,gameplay,870,47,duplicate,330,,,,,duplicate of s02a25l (demo 330)
s02a25l_D2,boot,17,-1.0,-1.0,,gameplay,870,47,duplicate,330,,,,,duplicate of s02a25l (demo 330)
s02a25l_D3,boot,314,4.87,3.0,s02a25l_D3.mkv,cutscene,393,0,cutscene,431,331,,,,"cutscene, 300s cap"
s02a25l_D4,boot,313,4.68,3.0,s02a25l_D4.mkv,cutscene,393,0,cutscene,331,,,,,"cutscene, 300s cap"
s02a30l,boot,24,5.28,3.0,s02a30l.mkv,gameplay,1181,219,gameplay,,,s02a30l_01,,,"gameplay, 10s cap"
s02a30l_1,boot,25,5.69,3.0,s02a30l_1.mkv,cutscene,299,0,gameplay,,,s02a30l_01,,,"gameplay, 10s cap"
s02a30l_10,boot,24,5.48,3.0,s02a30l_10.mkv,gameplay,1848,215,gameplay,,,s02a30l_01+s02a30l_04,,,"gameplay, 10s cap"
s02a30l_11,boot,24,5.08,3.0,s02a30l_11.mkv,gameplay,1075,219,gameplay,,,s02a30l_01+s02a30l_08,,,"gameplay, 10s cap"
s02a30l_12,boot,24,4.87,3.0,s02a30l_12.mkv,gameplay,1074,219,gameplay,,,s02a30l_01+s02a30l_08,,,"gameplay, 10s cap"
s02a30l_2,boot,24,5.27,3.0,s02a30l_2.mkv,gameplay,770,219,gameplay,,,s02a30l_01,,,"gameplay, 10s cap"
s02a30l_3,boot,34,5.27,3.0,s02a30l_3.mkv,cutscene,299,0,codec,,,s02a30l_01,,,"codec, 20s cap"
s02a30l_4,boot,24,5.07,3.0,s02a30l_4.mkv,gameplay,1181,219,gameplay,,,s02a30l_01,,,"gameplay, 10s cap"
s02a30l_5,boot,34,5.27,3.0,s02a30l_5.mkv,cutscene,299,0,codec,,,s02a30l_01+s02a30l_06,,,"codec, 20s cap"
s02a30l_6,boot,24,5.29,3.0,s02a30l_6.mkv,gameplay,694,219,gameplay,,,s02a30l_01+s02a30l_06,,,"gameplay, 10s cap"
s02a30l_7,boot,24,5.28,3.0,s02a30l_7.mkv,gameplay,1752,219,gameplay,,,s02a30l_01+s02a30l_04,,,"gameplay, 10s cap"
s02a30l_8,boot,24,5.07,3.0,s02a30l_8.mkv,gameplay,1769,219,gameplay,,,s02a30l_01+s02a30l_04,,,"gameplay, 10s cap"
s02a30l_9,boot,24,5.28,3.0,s02a30l_9.mkv,gameplay,1845,215,gameplay,,,s02a30l_01+s02a30l_04,,,"gameplay, 10s cap"
s02a40l,boot,24,5.07,3.0,s02a40l.mkv,gameplay,773,219,gameplay,,,s02a40l_01,,,"gameplay, 10s cap"
s02a40l_1,boot,24,5.07,3.0,s02a40l_1.mkv,gameplay,770,219,gameplay,,,s02a40l_01,,,"gameplay, 10s cap"
s02a40l_2,boot,24,5.28,3.0,s02a40l_2.mkv,gameplay,1451,215,gameplay,,,s02a40l_01,,,"gameplay, 10s cap"
s02a40l_3,boot,24,5.28,3.0,s02a40l_3.mkv,gameplay,730,219,gameplay,,,s02a40l_01,,,"gameplay, 10s cap"
s02a50l,boot,315,6.08,3.0,s02a50l.mkv,cutscene,286,2,cutscene,332,,,,,"cutscene, 300s cap"
s02a50l_1,boot,315,5.68,3.0,s02a50l_1.mkv,gameplay,1571,246,cutscene,335,,s02a50l_02,,,"cutscene, 300s cap"
s02a50l_2,boot,315,6.08,3.0,s02a50l_2.mkv,gameplay,1143,197,cutscene,337,,,,octopus,"cutscene, 300s cap"
s02a50l_3,boot,320,5.69,3.0,s02a50l_3.mkv,gameplay,581,62,cutscene,339,,,,octopus,"cutscene, 300s cap"
s02a50l_4,boot,26,6.09,3.0,s02a50l_4.mkv,gameplay,1112,215,gameplay,,,s02a60l_01,,,"gameplay, 10s cap"
s02a50l_D1,boot,18,-1.0,-1.0,,cutscene,1106,5,duplicate,332,,,,,duplicate of s02a50l (demo 332)
s02a50l_D2,boot,209,4.27,2.67,s02a50l_D2.mkv,gameplay,1097,47,cutscene,432,333,,,,handed over to gameplay after 187s of cutscene
s02a50l_D3,boot,315,5.88,3.0,s02a50l_D3.mkv,gameplay,1235,57,cutscene,334,,,,,"cutscene, 300s cap"
s02a50l_D5,boot,82,6.29,3.0,s02a50l_D5.mkv,gameplay,830,175,gameplay,336,,,,octopus,gameplay behind a demo at boot (HUD still up at 12s)
s02a50l_D6,boot,207,5.48,3.0,s02a50l_D6.mkv,gameplay,661,177,gameplay,338,,,,octopus,gameplay behind a demo at boot (HUD still up at 12s)
s02a50l_D7,boot,315,5.88,3.0,s02a50l_D7.mkv,cutscene,309,0,cutscene,340,,s02a50l_03,,,"cutscene, 300s cap"
s02a50l_D8,boot,316,6.09,3.0,s02a50l_D8.mkv,cutscene,307,0,cutscene,341,,s02a50l_03,,,"cutscene, 300s cap"
s02a60l,boot,269,5.49,3.0,s02a60l.mkv,gameplay,4818,222,gameplay,342,,s02a60l_01,,,gameplay behind a demo at boot (HUD still up at 12s)
s02a60l_1,boot,19,-1.0,-1.0,,cutscene,2265,5,duplicate,342,,,,,duplicate of s02a60l (demo 342)
s02a60l_2,boot,24,4.87,3.0,s02a60l_2.mkv,gameplay,3108,212,gameplay,,,s02a60l_01,,,"gameplay, 10s cap"
s02a60l_3,boot,24,4.67,3.0,s02a60l_3.mkv,gameplay,1240,212,gameplay,,,s02a60l_10,,,"gameplay, 10s cap"
s02a70l,boot,313,4.07,2.47,s02a70l.mkv,gameplay,557,43,cutscene,343,,,,,"cutscene, 300s cap"
s02a70l_D,boot,16,-1.0,-1.0,,gameplay,289,43,duplicate,343,,,,,duplicate of s02a70l (demo 343)
s02a73l,boot,24,5.09,3.0,s02a73l.mkv,gameplay,2011,237,gameplay,,,s02a60l_01,,,"gameplay, 10s cap"
s02a75l,boot,28,5.28,3.0,s02a75l.mkv,gameplay,1952,237,gameplay,,,s02a60l_02,,,"gameplay, 10s cap"
s02a78l,boot,43,5.07,3.0,s02a78l.mkv,gameplay,1040,223,cutscene,,,s02a60l_01,,,handed over to gameplay after 20s of cutscene
s02a80l,boot,26,4.87,3.0,s02a80l.mkv,gameplay,707,237,gameplay,,,s02a80l_01+s02a60l_02,,,"gameplay, 10s cap"
s02a85l,boot,300,4.27,2.67,s02a85l.mkv,gameplay,2282,473,gameplay,344,,,,,gameplay behind a demo at boot (HUD still up at 12s)
s02a85l_D,boot,17,-1.0,-1.0,,cutscene,705,2,duplicate,344,,,,,duplicate of s02a85l (demo 344)
s02a90l,boot,24,5.08,3.0,s02a90l.mkv,gameplay,2696,215,gameplay,,,s02a90l_01,,,"gameplay, 10s cap"
