file,frames,width,height,fps,seconds,bytes
L1_CM_Mantis.bk2,720,3840,2160,24.0,30.0,121254668
L2_CM_Octpus.bk2,959,3840,2160,24.0,39.96,201291728
L3_CM_Raven.bk2,720,3840,2160,24.0,30.0,91052672
L4_CM__Wolf.bk2,720,3840,2160,24.0,30.0,120539932
L5_CM_Ocelot.bk2,1440,3840,2160,24.0,60.0,182073804
d2010_mv.bk2,1774,3840,2160,59.94,29.6,130151656
d3010_mv.bk2,1654,3840,2160,59.94,27.59,121630496
d4010_mv.bk2,1894,3840,2160,59.94,31.6,138577272
logan_Video1.bk2,3676,3840,2160,24.0,153.17,625917552
d1060_mv.bk2,1716,3840,2160,59.94,28.63,127098964
d3272_pdm.bk2,46240,3840,2160,59.94,771.44,2161128716
d3274_pdm.bk2,21174,3840,2160,59.94,353.25,810444036
d4030_pdm.bk2,5226,3840,2160,59.94,87.19,174494776
d5120_24d.bk2,11485,3840,1080,59.94,191.61,287682744
d5130_pdm.bk2,45130,3840,2160,59.94,752.92,2632398484
d6017_mv.bk2,5097,3840,2160,59.94,85.03,45569896
d6070_mv.bk2,36686,3840,2160,59.94,612.04,295876660
d6080_mv.bk2,1054,3840,2160,59.94,17.58,78138340
